City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Raudeberg,NO,2021-06-14 14:33:55,61.9875,5.1352,56.8,89,87,19.37
223,Poum,NC,2021-06-14 14:33:56,-20.2333,164.0167,74.8,78,3,10.98
224,Sao Joao Dos Patos,BR,2021-06-14 14:33:57,-6.495,-43.7022,91.76,31,86,8.77
225,Hammerfest,NO,2021-06-14 14:33:57,70.6634,23.6821,46.13,76,75,10.36
226,Celestun,MX,2021-06-14 14:33:58,20.8667,-90.4,83.57,65,91,8.23
227,Ennis,IE,2021-06-14 14:33:59,52.8436,-8.9864,65.07,63,40,14.97
228,Soyo,AO,2021-06-14 14:34:00,-6.1349,12.3689,84.25,68,100,10.11
229,Batangafo,CF,2021-06-14 14:34:01,7.3008,18.2833,88.86,48,73,4.92
230,Sinnamary,GF,2021-06-14 14:34:01,5.3833,-52.95,83.53,73,26,7.76
231,Husavik,IS,2021-06-14 14:34:02,66.0449,-17.3389,42.71,76,100,11.03
232,Poanas,MX,2021-06-14 14:34:03,25.7667,-103.6167,78.93,43,8,7.09
233,Akrini,GR,2021-06-14 14:34:03,40.4333,21.9,68.94,24,64,9.22
234,Airai,TL,2021-06-14 14:34:04,-8.9266,125.4092,58.5,93,62,1.81
235,Misratah,LY,2021-06-14 14:34:05,32.3754,15.0925,77.95,55,0,11.18
236,Wairoa,NZ,2021-06-14 14:34:05,-39.0333,177.3667,54.55,88,40,1.99
237,Perelyub,RU,2021-06-14 14:34:06,51.8667,50.3667,70.68,76,98,7.18
238,Havre-Saint-Pierre,CA,2021-06-14 14:34:06,50.2334,-63.5986,57.56,47,20,6.91
239,Tual,ID,2021-06-14 14:34:07,-5.6667,132.75,81.39,78,89,14.88
240,Nanortalik,GL,2021-06-14 14:34:08,60.1432,-45.2371,38.12,82,81,10.54
241,Marsa Matruh,EG,2021-06-14 14:34:08,31.3525,27.2453,79.0,61,40,20.71
242,Ekibastuz,KZ,2021-06-14 14:32:41,51.6667,75.3667,72.45,39,4,12.37
243,West Bay,KY,2021-06-14 14:34:09,19.3667,-81.4167,87.08,76,20,7.0
