City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Saint-Fons,FR,45.7,4.8667,75.52,64,0,9.22,clear sky
178,Uaua,BR,-9.8414,-39.4817,64.62,95,1,8.43,clear sky
179,Yellowknife,CA,62.456,-114.3525,54.12,66,75,14.97,broken clouds
180,Kendari,ID,-3.945,122.4989,80.47,84,96,2.82,overcast clouds
181,Amga,RU,60.8953,131.9608,76.19,23,92,9.42,overcast clouds
182,Palomares,MX,17.15,-95.0667,72.1,95,100,4.59,overcast clouds
183,Yelan-Koleno,RU,51.1523,41.2306,72.52,74,27,12.82,scattered clouds
184,Kavieng,PG,-2.5744,150.7967,83.89,67,87,5.35,overcast clouds
185,Beringovskiy,RU,63.05,179.3167,42.44,79,98,15.75,overcast clouds
186,Huarmey,PE,-10.0681,-78.1522,65.95,88,54,9.89,broken clouds
187,Vanimo,PG,-2.6741,141.3028,82.2,77,44,5.53,scattered clouds
188,Usinsk,RU,65.9939,57.5281,51.85,42,89,15.1,overcast clouds
189,Mutis,CO,6.2262,-77.4044,78.21,89,90,1.25,moderate rain
190,Vikhorevka,RU,56.1201,101.1636,74.79,27,19,4.56,few clouds
191,Quelimane,MZ,-17.8786,36.8883,66.15,94,75,0.0,broken clouds
192,Lorengau,PG,-2.0226,147.2712,84.42,67,68,7.94,broken clouds
193,Tikamgarh,IN,24.745,78.8333,100.81,26,52,9.98,broken clouds
194,Upernavik,GL,72.7868,-56.1549,33.13,90,24,4.34,few clouds
195,Vilyuysk,RU,63.7553,121.6247,77.86,28,100,9.95,overcast clouds
196,Izhma,RU,65.0083,53.9113,55.98,33,54,7.0,broken clouds
197,Chernyshevskiy,RU,63.0128,112.4714,70.99,37,51,5.7,broken clouds
198,Mount Isa,AU,-20.7333,139.5,76.77,20,53,6.91,broken clouds
199,Sovetskiy,RU,61.3614,63.5842,62.24,61,64,12.95,broken clouds
200,Berlevag,NO,70.8578,29.0864,44.55,65,75,24.16,broken clouds
201,Kuryk,KZ,43.2,51.65,90.88,22,0,20.22,clear sky
202,State College,US,40.7934,-77.86,52.45,76,40,1.99,scattered clouds
203,Leningradskiy,RU,69.3833,178.4167,39.67,85,100,10.18,overcast clouds
204,Luwuk,ID,-0.9516,122.7875,83.07,76,33,4.94,scattered clouds
205,Auki,SB,-8.7676,160.7034,84.15,69,8,2.48,clear sky
206,Aklavik,CA,68.2191,-135.0107,50.83,53,100,12.84,overcast clouds
207,Cooma,AU,-36.2333,149.1333,47.97,57,40,18.41,scattered clouds
208,Sol-Iletsk,RU,51.1631,54.9918,81.0,50,5,12.3,clear sky
209,Kijabe,KE,-0.933,36.5758,57.42,93,93,2.82,overcast clouds
210,Vostok,RU,46.4856,135.8833,82.67,21,100,7.14,overcast clouds
211,Teguise,ES,29.0605,-13.564,66.42,73,75,9.22,broken clouds
212,Mahebourg,MU,-20.4081,57.7,73.26,83,75,11.5,broken clouds
213,Vao,NC,-22.6667,167.4833,71.56,76,56,8.14,broken clouds
214,Neiafu,TO,-18.65,-173.9833,77.68,83,75,2.3,broken clouds
215,Bulawayo,ZW,-20.15,28.5833,56.03,41,0,2.91,clear sky
216,Mattru,SL,7.6244,-11.8332,72.91,94,52,1.01,broken clouds
217,Merauke,ID,-8.4667,140.3333,82.02,74,40,15.61,scattered clouds
218,Nurota,UZ,40.5614,65.6886,89.69,12,0,16.73,clear sky
219,Georgetown,MY,5.4112,100.3354,87.73,86,40,10.0,light rain
220,Tiksi,RU,71.6872,128.8694,42.39,83,61,7.65,broken clouds
221,Broken Hill,AU,-31.95,141.4333,60.51,51,40,13.8,scattered clouds
222,Sinnar,SD,13.5691,33.5672,86.4,52,71,11.45,broken clouds
223,Fairbanks,US,64.8378,-147.7164,63.23,88,75,5.75,light rain
224,Hue,VN,16.4667,107.6,96.91,46,20,6.91,few clouds
225,Esmeraldas,BR,-19.7625,-44.3139,59.86,69,3,3.83,clear sky
226,Cheremukhovo,RU,60.3484,59.9851,64.96,43,69,11.61,broken clouds
227,Tuatapere,NZ,-46.1333,167.6833,43.83,90,57,4.25,broken clouds
