City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
627,Xiaoweizhai,CN,83.82,overcast clouds,26.1903,107.5125,Karst Youth Hostel
629,Tucumcari,US,77.94,broken clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
631,Safaga,EG,76.95,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
646,Semnan,IR,87.78,clear sky,35.5729,53.3971,Semnan Tourist Hotel
653,Mulege,MX,84.88,clear sky,26.8833,-111.9833,Casa Granada
657,Pishin,PK,86.72,clear sky,30.5803,66.9961,City Hotel Pishin
659,Fengrun,CN,81.75,broken clouds,39.8333,118.1167,Super 8 Tangshan North Railway Station Tangfeng Road
661,Guhagar,IN,84.97,broken clouds,17.4842,73.1929,Hotel Seawinds
663,Ambulu,ID,83.1,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
665,Hohhot,CN,78.26,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
672,Dongkan,CN,79.63,overcast clouds,33.9997,119.8308,Triumphal Resort
673,Parker,US,82.35,clear sky,32.7668,-97.8003,"Candlewood Suites Weatherford, an IHG Hotel"
676,Biak,ID,81.28,scattered clouds,-0.9131,122.8766,Penginapan Kim
681,Finschhafen,PG,81.03,overcast clouds,-6.6024,147.8681,Cossam Guest House
